date,cases
"September 1, 2020", 90
"September 2, 2020", 113
"September 3, 2020", 81
"September 4, 2020", 76
"September 5, 2020", 63
"September 6, 2020", 41
"September 7, 2020", 55
"September 8, 2020", 76
"September 9, 2020", 51
"September 10, 2020", 43
"September 11, 2020", 37
"September 12, 2020", 41
"September 13, 2020", 35
"September 14, 2020", 42
"September 15, 2020", 42
"September 16, 2020", 28
"September 17, 2020", 45
"September 18, 2020", 21
"September 19, 2020", 14
"September 20, 2020", 11
"September 21, 2020", 28
"September 22, 2020", 15
"September 23, 2020", 12
"September 24, 2020", 14
"September 25, 2020", 12
"September 26, 2020", 16
"September 27, 2020", 5
"September 28, 2020", 10
"September 29, 2020", 13
"September 30, 2020", 15
"October 1, 2020", 7
"October 2, 2020", 8
"October 3, 2020", 12
"October 4, 2020", 9
"October 5, 2020", 15
"October 6, 2020", 6
"October 7, 2020", 11
"October 8, 2020", 11
"October 9, 2020", 14
"October 10, 2020", 12
